Year,name,career_AST,career_FGpct,career_FG3pct,career_FTpct,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFGpct,,,,,,
2012,Kareem Abdul-Jabbar,3.6,55.9,5.6,72.1,1560,24.6,24.6,11.2,273.4,55.9,,,,,,
2012,Wilt Chamberlain,4.4,54,5.6,51.1,1045,26.1,30.1,22.9,247.3,,,,,,,
2012,Karl Malone,3.6,51.6,27.4,74.2,1476,23.9,25,10.1,234.6,51.8,,,,,,
2012,LeBron James,7.2,50.4,34.3,73.6,1198,27.6,27.2,7.4,226.6,54.1,,,,,,
2012,Michael Jordan,5.3,49.7,32.7,83.5,1072,27.9,30.1,6.2,214,50.9,,,,,,
2012,John Stockton,10.5,51.5,38.4,82.6,1504,21.8,13.1,2.7,207.7,54.6,,,,,,
2012,Tim Duncan,3,50.6,17.9,69.6,1392,24.2,19,10.8,206.4,50.7,,,,,,
2012,Dirk Nowitzki,2.4,47.1,38,87.9,1522,22.4,20.7,7.5,206.3,51.2,,,,,,
2012,Kevin Garnett,3.7,49.7,27.5,78.9,1462,22.7,17.8,10,191.4,50.1,,,,,,
2012,Artis Gilmore,2.3,58.2,15,69.8,1329,21.4,18.8,12.3,189.7,58.2,,,,,,
2012,Oscar Robertson,9.5,48.5,,83.8,1040,23.2,25.7,7.5,189.2,,,,,,,
2012,Shaquille O'Neal,2.5,58.2,4.5,52.7,1207,26.4,23.7,10.9,181.7,58.2,,,,,,
2012,Julius Erving,4.2,50.6,29.8,77.7,1243,23.6,24.2,8.5,181.1,50.9,,,,,,
2012,Moses Malone,1.3,49.5,9.6,76,1455,22,20.3,12.3,179.1,49.5,,,,,,
2012,David Robinson,2.5,51.8,25,73.6,987,26.2,21.1,10.6,178.7,51.9,,,,,,
2012,Charles Barkley,3.9,54.1,26.6,73.5,1073,24.6,22.1,11.7,177.2,55.8,,,,,,
2012,Reggie Miller,3,47.1,39.5,88.8,1389,18.4,18.2,3,174.4,54.4,,,,,,
2012,Kobe Bryant,4.7,44.7,32.9,83.7,1346,22.9,25,5.2,172.7,48.2,,,,,,
2012,Chris Paul,9.7,46.9,37,86.8,950,25.3,18.5,4.5,171.5,51.8,,,,,,
2012,Bill Russell,4.3,44,,56.1,963,18.9,15.1,22.5,163.5, 52.3,,,,,,,
