
position,career_WS
Power Forward,5.1
Center,-0.3
Shooting Guard,-0.3
Shooting Guard,-0.2
Small Forward,-0.1
Shooting Guard,-0.1
Center,0
Shooting Guard,0
Shooting Guard,0
Shooting Guard,0
Small Forward,0.2
Shooting Guard,0.8
Power Forward,0.9
Small Forward,0.9
Center,1
Center,2.2
Power Forward,5.6
Shooting Guard,7.2
Small Forward,-0.3
Shooting Guard,-0.3
Center,-0.2
Small Forward,0
Small Forward,0
Power Forward,0.1
Shooting Guard,59.3
Shooting Guard,-0.3
Small Forward,0.1
Center,0.1
Power Forward,1.2
Center,1.6
Point Guard,5.1
Center,10.9
Shooting Guard,10.9
Point Guard,17
Power Forward,-0.2
Point Guard,0.4
Power Forward,0.5
Small Forward,0.7
Shooting Guard,1.5
Shooting Guard,6.9
Shooting Guard,-2
Point Guard,60.4
Shooting Guard,0.1
Power Forward,0.8
Shooting Guard,0.8
Center,1
Small Forward,5.7
Shooting Guard,33.2
Point Guard,-0.3
Shooting Guard,-0.2
Small Forward,1.1
Power Forward,2.4
Power Forward,0
Point Guard,0.8
Center,0
Shooting Guard,-0.4
Point Guard,-0.3
Point Guard,-0.1
Shooting Guard,-0.1
Point Guard,-0.1
Shooting Guard,0
Small Forward,0.1
Point Guard,0.1
Small Forward,-0.4
Center,0
Small Forward,0.1
Small Forward,0.2
Center,0.2
Power Forward,-0.5
Shooting Guard,-0.1
Center,0
Center,0.3
Shooting Guard,-2.9
Shooting Guard,-2.7
Point Guard,-1.8
Power Forward,-1.6
Small Forward,-1.5
Power Forward,-1.3
Point Guard,-1.2
Point Guard,-1.2
Power Forward,-1.2
Point Guard,-1.1
Center,-1.1
Shooting Guard,-1
Shooting Guard,-0.9
Point Guard,-0.9
Center,-0.9
Power Forward,-0.9
Small Forward,-0.8
Point Guard,-0.8
Point Guard,-0.8
Center,-0.8
Point Guard,-0.8
Center,-0.7
Small Forward,-0.7
Point Guard,-0.7
Point Guard,-0.7
Shooting Guard,-0.6
Point Guard,-0.6
Point Guard,-0.6
Power Forward,-0.6
Point Guard,-0.6
Point Guard,-0.6
Small Forward,-0.6
Shooting Guard,-0.6
Center,-0.6
Shooting Guard,-0.5
Shooting Guard,-0.5
Small Forward,-0.5
Center,-0.5
Center,-0.4
Small Forward,-0.4
Shooting Guard,-0.4
Point Guard,-0.4
Shooting Guard,-0.4
Center,-0.4
Shooting Guard,-0.4
Point Guard,-0.3
Small Forward,-0.3
Shooting Guard,-0.3
Small Forward,-0.3
Small Forward,-0.3
Power Forward,-0.3
Point Guard,-0.3
Small Forward,-0.3
Shooting Guard,-0.3
Point Guard,-0.2
Power Forward,-0.2
Point Guard,-0.2
Center,-0.2
Power Forward,-0.2
Small Forward,-0.2
Small Forward,-0.2
Power Forward,-0.2
Shooting Guard,-0.2
Power Forward,-0.1
Small Forward,-0.1
Small Forward,-0.1
Power Forward,-0.1
Shooting Guard,-0.1
Point Guard,-0.1
Center,-0.1
Center,-0.1
Small Forward,-0.1
Shooting Guard,-0.1
Small Forward,-0.1
Center,-0.1
Small Forward,-0.1
Shooting Guard,-0.1
Small Forward,-0.1
Small Forward,-0.1
Center,-0.1
Shooting Guard,0
Shooting Guard,0
Shooting Guard,0
Point Guard,0
Shooting Guard,0
Small Forward,0
Small Forward,0
Shooting Guard,0
Center,0
Power Forward,0
Center,0
Center,0
Power Forward,0
Shooting Guard,0
Shooting Guard,0
Power Forward,0
Point Guard,0
Center,0.1
Small Forward,0.1
Small Forward,0.1
Shooting Guard,0.1
Center,0.1
Power Forward,0.1
Shooting Guard,0.1
Small Forward,0.1
Center,0.1
Center,0.1
Small Forward,0.1
Shooting Guard,0.1
Power Forward,0.1
Shooting Guard,0.1
Shooting Guard,0.1
Small Forward,0.1
Shooting Guard,0.1
Point Guard,0.2
Power Forward,0.2
Small Forward,0.2
Shooting Guard,0.2
Power Forward,0.2
Small Forward,0.2
Small Forward,0.2
Shooting Guard,0.2
Power Forward,0.2
Center,0.2
Power Forward,0.2
Small Forward,0.2
Power Forward,0.2
Shooting Guard,0.2
Center,0.2
Center,0.2
Center,0.2
Shooting Guard,0.3
Power Forward,0.3
Shooting Guard,0.3
Power Forward,0.3
Center,0.3
Power Forward,0.3
Power Forward,0.3
Center,0.3
Shooting Guard,0.3
Shooting Guard,0.3
Small Forward,0.3
Center,0.3
Shooting Guard,0.4
Center,0.4
Shooting Guard,0.4
Small Forward,0.4
Shooting Guard,0.4
Shooting Guard,0.4
Center,0.4
Shooting Guard,0.4
Center,0.4
Center,0.4
Small Forward,0.5
Power Forward,0.5
Small Forward,0.5
Shooting Guard,0.5
Point Guard,0.5
Small Forward,0.5
Small Forward,0.5
Center,0.5
Center,0.5
Small Forward,0.5
Small Forward,0.6
Shooting Guard,0.6
Shooting Guard,0.6
Small Forward,0.6
Power Forward,0.6
Small Forward,0.6
Power Forward,0.6
Small Forward,0.6
Power Forward,0.6
Point Guard,0.6
Shooting Guard,0.7
Shooting Guard,0.7
Center,0.7
Power Forward,0.7
Shooting Guard,0.7
Small Forward,0.7
Shooting Guard,0.8
Center,0.8
Point Guard,0.8
Power Forward,0.8
Point Guard,0.8
Shooting Guard,0.8
Center,0.8
Center,0.9
Shooting Guard,0.9
Point Guard,0.9
Power Forward,0.9
Center,0.9
Center,1
Center,1
Power Forward,1
Power Forward,1
Point Guard,1
Power Forward,1
Center,1
Shooting Guard,1
Shooting Guard,1
Center,1
Power Forward,1.1
Small Forward,1.1
Power Forward,1.1
Point Guard,1.1
Shooting Guard,1.1
Small Forward,1.1
Center,1.1
Power Forward,1.1
Small Forward,1.1
Center,1.2
Small Forward,1.2
Shooting Guard,1.2
Power Forward,1.2
Center,1.2
Shooting Guard,1.3
Point Guard,1.3
Shooting Guard,1.3
Power Forward,1.3
Shooting Guard,1.3
Power Forward,1.4
Power Forward,1.4
Center,1.4
Shooting Guard,1.5
Shooting Guard,1.5
Shooting Guard,1.5
Point Guard,1.6
Center,1.6
Point Guard,1.6
Center,1.7
Small Forward,1.7
Power Forward,1.7
Power Forward,1.7
Power Forward,1.7
Center,1.7
Small Forward,1.8
Small Forward,1.8
Center,1.8
Power Forward,1.8
Center,1.9
Center,1.9
Center,1.9
Small Forward,1.9
Power Forward,1.9
Point Guard,1.9
Power Forward,1.9
Point Guard,2
Power Forward,2
Point Guard,2
Shooting Guard,2.1
Point Guard,2.1
Shooting Guard,2.1
Point Guard,2.1
Point Guard,2.2
Center,2.2
Point Guard,2.2
Power Forward,2.3
Small Forward,2.3
Power Forward,2.3
Shooting Guard,2.4
Point Guard,2.4
Small Forward,2.4
Power Forward,2.4
Point Guard,2.4
Center,2.4
Small Forward,2.4
Point Guard,2.4
Small Forward,2.4
Shooting Guard,2.4
Point Guard,2.5
Power Forward,2.5
Center,2.5
Small Forward,2.7
Point Guard,2.7
Shooting Guard,2.7
Point Guard,2.7
Center,2.8
Center,2.8
Small Forward,2.9
Small Forward,2.9
Shooting Guard,2.9
Power Forward,2.9
Small Forward,3
Point Guard,3
Small Forward,3
Shooting Guard,3
Center,3
Power Forward,3
Power Forward,3
Center,3
Shooting Guard,3.1
Power Forward,3.1
Small Forward,3.1
Shooting Guard,3.1
Center,3.2
Power Forward,3.2
Power Forward,3.2
Point Guard,3.2
Shooting Guard,3.3
Point Guard,3.3
Power Forward,3.3
Small Forward,3.3
Small Forward,3.3
Point Guard,3.3
Small Forward,3.4
Shooting Guard,3.5
Point Guard,3.5
Small Forward,3.5
Power Forward,3.6
Center,3.6
Shooting Guard,3.6
Center,3.6
Small Forward,3.6
Shooting Guard,3.6
Shooting Guard,3.7
Power Forward,3.7
Small Forward,3.8
Power Forward,3.8
Shooting Guard,3.8
Point Guard,3.9
Power Forward,3.9
Small Forward,3.9
Center,3.9
Small Forward,3.9
Center,4
Shooting Guard,4
Power Forward,4
Power Forward,4
Small Forward,4.1
Point Guard,4.1
Small Forward,4.2
Small Forward,4.2
Center,4.2
Small Forward,4.2
Power Forward,4.2
Small Forward,4.3
Point Guard,4.3
Point Guard,4.4
Small Forward,4.5
Small Forward,4.5
Shooting Guard,4.6
Power Forward,4.6
Power Forward,4.6
Small Forward,4.6
Small Forward,4.7
Center,4.7
Power Forward,4.7
Power Forward,4.8
Point Guard,4.8
Center,4.8
Shooting Guard,4.9
Small Forward,5
Shooting Guard,5
Shooting Guard,5
Point Guard,5
Point Guard,5
Power Forward,5.1
Shooting Guard,5.1
Point Guard,5.2
Small Forward,5.2
Power Forward,5.2
Small Forward,5.2
Point Guard,5.2
Center,5.2
Shooting Guard,5.3
Small Forward,5.3
Center,5.3
Power Forward,5.4
Shooting Guard,5.5
Center,5.5
Shooting Guard,5.6
Center,5.6
Shooting Guard,5.6
Power Forward,5.6
Center,5.8
Shooting Guard,5.8
Small Forward,5.8
Point Guard,5.8
Point Guard,5.9
Center,5.9
Center,6
Power Forward,6.1
Center,6.2
Small Forward,6.3
Power Forward,6.3
Point Guard,6.3
Point Guard,6.4
Small Forward,6.4
Power Forward,6.5
Center,6.5
Point Guard,6.6
Point Guard,6.6
Power Forward,6.9
Power Forward,7
Shooting Guard,7.1
Power Forward,7.1
Power Forward,7.2
Shooting Guard,7.3
Center,7.3
Shooting Guard,7.4
Center,7.5
Center,7.6
Small Forward,7.8
Center,7.9
Point Guard,7.9
Power Forward,8.1
Center,8.1
Small Forward,8.2
Point Guard,8.3
Small Forward,8.3
Power Forward,8.3
Power Forward,8.4
Point Guard,8.4
Point Guard,8.4
Power Forward,8.4
Center,8.5
Shooting Guard,8.5
Small Forward,8.6
Shooting Guard,8.7
Center,8.8
Power Forward,8.8
Power Forward,9
Small Forward,9.1
Small Forward,9.1
Shooting Guard,9.2
Small Forward,9.2
Small Forward,9.5
Center,9.5
Center,9.6
Shooting Guard,9.6
Small Forward,9.6
Point Guard,9.6
Shooting Guard,9.8
Shooting Guard,9.8
Point Guard,9.9
Center,9.9
Shooting Guard,10
Shooting Guard,10
Point Guard,10.2
Shooting Guard,10.2
Point Guard,10.5
Power Forward,10.6
Small Forward,10.6
Center,10.6
Point Guard,10.6
Point Guard,10.7
Center,10.8
Power Forward,10.8
Center,11
Point Guard,11
Power Forward,11.1
Power Forward,11.2
Point Guard,11.3
Power Forward,11.4
Power Forward,11.4
Small Forward,11.4
Small Forward,11.6
Power Forward,11.6
Center,11.9
Point Guard,12
Small Forward,12
Power Forward,12.1
Center,12.3
Center,12.4
Shooting Guard,12.7
Center,12.7
Small Forward,12.9
Power Forward,13
Shooting Guard,13
Center,13
Small Forward,13
Small Forward,13
Point Guard,13.1
Power Forward,13.2
Center,13.3
Point Guard,13.3
Power Forward,13.4
Power Forward,13.5
Power Forward,13.7
Center,13.7
Small Forward,13.8
Point Guard,13.9
Point Guard,14.2
Shooting Guard,14.2
Small Forward,14.4
Small Forward,14.6
Power Forward,14.7
Power Forward,14.7
Small Forward,14.8
Shooting Guard,15.1
Power Forward,15.2
Center,15.2
Small Forward,15.2
Shooting Guard,15.2
Power Forward,15.3
Small Forward,15.3
Small Forward,15.4
Center,15.5
Power Forward,15.5
Center,15.6
Center,15.8
Center,15.8
Power Forward,15.9
Shooting Guard,16
Shooting Guard,16
Power Forward,16.3
Small Forward,16.3
Small Forward,16.4
Center,16.4
Shooting Guard,16.5
Small Forward,16.5
Point Guard,16.6
Center,16.8
Point Guard,16.9
Center,16.9
Small Forward,16.9
